Carimbo de data/hora;Temperatura (ºC);Humidade (%);Pressão (hPa)
2020/11/01 00:00:00;16.6;92.3;680.31
2020/11/01 00:01:00;16.6;92.2;679.96
2020/11/01 00:02:00;16.6;92.3;680.45
2020/11/01 00:03:01;16.6;92.3;680.72
2020/11/01 00:04:01;16.6;92.2;680.81
2020/11/01 00:05:01;16.6;92.3;680.61
2020/11/01 00:06:01;16.6;92.3;680.09
2020/11/01 00:07:01;16.6;92.2;680.4
2020/11/01 00:08:01;16.6;92.2;680.77
2020/11/01 00:09:01;16.6;92.3;680.95
2020/11/01 00:10:02;16.6;92.3;680.66
2020/11/01 00:11:02;16.6;92.4;680.92
2020/11/01 00:12:02;16.6;92.5;680.97
2020/11/01 00:13:02;16.5;92.6;680.98
2020/11/01 00:14:02;16.5;92.6;680.59
2020/11/01 00:15:02;16.5;92.6;680.3
2020/11/01 00:16:03;16.6;92.7;680.52
2020/11/01 00:17:03;16.5;92.6;680.64
2020/11/01 00:18:03;16.5;92.7;680.83
2020/11/01 00:19:03;16.5;92.7;680.81
2020/11/01 00:20:03;16.5;92.7;680.93
2020/11/01 00:21:03;16.5;92.8;680.71
2020/11/01 00:22:03;16.5;92.8;680.74
2020/11/01 00:23:03;16.5;92.8;681.00
2020/11/01 00:24:04;16.5;92.8;680.95
2020/11/01 00:25:03;16.5;92.8;680.85
2020/11/01 00:26:04;16.5;92.7;680.66
2020/11/01 00:27:04;16.5;92.7;680.49
2020/11/01 00:28:04;16.5;92.7;681.32
2020/11/01 00:29:04;16.5;92.7;680.86
2020/11/01 00:30:04;16.5;92.8;680.33
2020/11/01 00:31:04;16.5;92.8;680.55
2020/11/01 00:32:05;16.5;92.8;680.44
2020/11/01 00:33:05;16.5;92.8;680.53
2020/11/01 00:34:05;16.5;92.9;680.76
2020/11/01 00:35:05;16.5;92.8;680.73
2020/11/01 00:36:05;16.5;92.8;680.82
2020/11/01 00:37:05;16.5;92.7;680.48
2020/11/01 00:38:06;16.5;92.8;680.7
2020/11/01 00:39:06;16.5;92.8;680.63
2020/11/01 00:40:06;16.4;92.9;680.49
2020/11/01 00:41:06;16.4;92.9;681.00
2020/11/01 00:42:06;16.4;92.9;680.76
2020/11/01 00:43:06;16.4;92.9;681.06
2020/11/01 00:44:06;16.4;93.0;680.97
2020/11/01 00:45:07;16.4;93.0;681.07
2020/11/01 00:46:06;16.4;93.0;680.58
2020/11/01 00:47:07;16.4;93.0;680.67
2020/11/01 00:48:07;16.4;92.9;680.84
2020/11/01 00:49:07;16.5;92.9;680.87
2020/11/01 00:50:07;16.4;92.9;681.19
2020/11/01 00:51:07;16.4;92.9;681.22
2020/11/01 00:52:07;16.4;92.9;680.84
2020/11/01 00:53:08;16.4;93.0;681.14
2020/11/01 00:54:08;16.4;93.1;681.46
2020/11/01 00:55:08;16.4;93.1;680.67
2020/11/01 00:56:08;16.4;93.1;680.85
2020/11/01 00:57:08;16.4;93.1;681.17
2020/11/01 00:58:08;16.4;93.0;681.06
2020/11/01 00:59:09;16.4;93.0;681.2
2020/11/01 01:00:08;16.4;93.0;680.79
2020/11/01 01:01:09;16.4;93.0;681.5
2020/11/01 01:02:09;16.4;93.0;681.13
2020/11/01 01:03:09;16.4;93.1;681.06
2020/11/01 01:04:09;16.3;93.1;681.64
2020/11/01 01:05:09;16.3;93.3;681.32
2020/11/01 01:06:09;16.4;93.2;681.06
2020/11/01 01:07:09;16.3;93.1;680.94
2020/11/01 01:08:10;16.3;93.1;680.96
2020/11/01 01:09:10;16.3;93.2;681.52
2020/11/01 01:10:10;16.3;93.3;680.91
2020/11/01 01:11:10;16.3;93.2;681.3
2020/11/01 01:12:10;16.3;93.2;681.28
2020/11/01 01:13:10;16.3;93.1;680.83
2020/11/01 01:14:10;16.3;93.1;681.55
2020/11/01 01:15:11;16.3;93.1;681.00
2020/11/01 01:16:11;16.3;93.2;681.55
2020/11/01 01:17:11;16.2;93.2;681.98
2020/11/01 01:18:11;16.3;93.2;681.99
2020/11/01 01:19:11;16.2;93.1;681.62
2020/11/01 01:20:12;16.2;93.2;681.97
2020/11/01 01:21:11;16.2;93.2;681.52
2020/11/01 01:22:11;16.2;93.2;681.94
2020/11/01 01:23:12;16.2;93.2;681.99
2020/11/01 01:24:12;16.2;93.2;681.61
2020/11/01 01:25:12;16.2;93.2;681.97
2020/11/01 01:26:12;16.2;93.1;682.03
2020/11/01 01:27:12;16.2;93.1;681.87
2020/11/01 01:28:12;16.1;93.2;682.56
2020/11/01 01:29:13;16.1;93.3;681.88
2020/11/01 01:30:13;16.1;93.3;681.91
2020/11/01 01:31:13;16.1;93.3;682.27
2020/11/01 01:32:13;16.1;93.4;682.56
2020/11/01 01:33:13;16.1;93.6;681.98
2020/11/01 01:34:13;16.0;93.7;682.39
2020/11/01 01:35:14;16.0;93.7;682.5
2020/11/01 01:36:14;16.0;93.8;681.73
2020/11/01 01:37:13;16.0;93.8;682.49
2020/11/01 01:38:14;16.0;93.9;682.59
2020/11/01 01:39:14;16.0;93.9;682.54
2020/11/01 01:40:14;16.0;93.9;682.5
2020/11/01 01:41:15;16.0;93.9;682.36
2020/11/01 01:42:14;16.0;94.0;682.33
2020/11/01 01:43:15;16.1;94.0;681.87
2020/11/01 01:44:15;16.1;93.9;681.53
2020/11/01 01:45:15;16.1;93.9;681.9
2020/11/01 01:46:15;16.1;93.9;682.12
2020/11/01 01:47:15;16.1;93.9;682.43
2020/11/01 01:48:15;16.1;93.9;681.64
2020/11/01 01:49:15;16.1;93.9;681.81
2020/11/01 01:50:15;16.1;93.9;681.84
2020/11/01 01:51:16;16.1;93.9;681.96
2020/11/01 01:52:16;16.1;93.9;681.72
2020/11/01 01:53:16;16.1;93.9;681.84
2020/11/01 01:54:16;16.1;93.9;681.92
2020/11/01 01:55:16;16.1;93.9;680.86
2020/11/01 01:56:16;16.2;93.8;681.93
2020/11/01 01:57:17;16.2;93.8;681.75
2020/11/01 01:58:17;16.2;93.8;681.83
2020/11/01 01:59:17;16.2;93.8;681.48
2020/11/01 02:00:17;16.2;93.8;681.49
2020/11/01 02:01:17;16.2;93.8;681.47
2020/11/01 02:02:17;16.2;93.8;681.72
2020/11/01 02:03:17;16.2;93.8;681.59
2020/11/01 02:04:17;16.2;93.8;681.75
2020/11/01 02:05:18;16.2;93.9;681.21
2020/11/01 02:06:18;16.2;93.9;681.16
2020/11/01 02:07:18;16.2;93.8;681.47
2020/11/01 02:08:18;16.2;93.9;681.2
2020/11/01 02:09:18;16.2;93.9;681.61
2020/11/01 02:10:18;16.2;93.9;681.57
2020/11/01 02:11:18;16.2;93.8;681.31
2020/11/01 02:12:18;16.2;93.8;680.81
2020/11/01 02:13:19;16.2;93.7;681.16
2020/11/01 02:14:19;16.2;93.7;680.99
2020/11/01 02:15:19;16.2;93.6;681.31
2020/11/01 02:16:19;16.2;93.7;681.07
2020/11/01 02:17:19;16.2;93.8;681.36
2020/11/01 02:18:19;16.2;93.7;681.14
2020/11/01 02:19:20;16.2;93.8;681.28
2020/11/01 02:20:20;16.2;93.8;681.04
2020/11/01 02:21:20;16.2;93.7;681.46
2020/11/01 02:22:20;16.2;93.8;681.22
2020/11/01 02:23:20;16.2;93.7;681.54
2020/11/01 02:24:20;16.2;93.7;681.35
2020/11/01 02:25:20;16.2;93.8;681.58
2020/11/01 02:26:20;16.2;93.9;681.83
2020/11/01 02:27:21;16.2;93.8;681.03
2020/11/01 02:28:21;16.1;93.7;681.72
2020/11/01 02:29:21;16.1;93.7;681.24
2020/11/01 02:30:21;16.1;93.7;681.45
2020/11/01 02:31:21;16.1;93.7;681.34
2020/11/01 02:32:21;16.1;93.9;681.52
2020/11/01 02:33:21;16.1;94.0;680.94
2020/11/01 02:34:22;16.1;94.0;681.89
2020/11/01 02:35:22;16.1;94.0;681.45
2020/11/01 02:36:22;16.1;94.0;681.53
2020/11/01 02:37:22;16.1;94.1;681.68
2020/11/01 02:38:22;16.1;94.1;681.49
2020/11/01 02:39:22;16.1;94.1;680.95
2020/11/01 02:40:23;16.2;94.1;681.3
2020/11/01 02:41:23;16.2;94.1;681.38
2020/11/01 02:42:23;16.2;94.1;680.92
2020/11/01 02:43:23;16.2;94.1;681.14
2020/11/01 02:44:23;16.2;94.1;680.97
2020/11/01 02:45:24;16.2;94.2;681.36
2020/11/01 02:46:23;16.2;94.3;681.38
2020/11/01 02:47:24;16.2;94.4;681.12
2020/11/01 02:48:24;16.2;94.4;680.51
2020/11/01 02:49:24;16.2;94.3;680.65
2020/11/01 02:50:24;16.2;94.4;681.16
2020/11/01 02:51:24;16.2;94.4;680.59
2020/11/01 02:52:24;16.2;94.5;680.26
2020/11/01 02:53:25;16.2;94.5;681.3
2020/11/01 02:54:24;16.2;94.4;680.67
2020/11/01 02:55:24;16.2;94.4;680.57
2020/11/01 02:56:25;16.2;94.4;680.65
2020/11/01 02:57:25;16.2;94.4;681.05
2020/11/01 02:58:25;16.2;94.5;680.62
2020/11/01 02:59:25;16.3;94.6;680.87
2020/11/01 03:00:25;16.3;94.5;680.23
2020/11/01 03:01:25;16.3;94.6;680.22
2020/11/01 03:02:26;16.3;94.5;680.1
2020/11/01 03:03:26;16.3;94.4;680.00
2020/11/01 03:04:26;16.3;94.4;680.41
2020/11/01 03:05:26;16.3;94.4;680.05
2020/11/01 03:06:26;16.4;94.4;680.65
2020/11/01 03:07:26;16.4;94.3;679.73
2020/11/01 03:08:27;16.4;94.3;679.9
2020/11/01 03:09:27;16.4;94.2;679.45
2020/11/01 03:10:27;16.4;94.1;679.58
2020/11/01 03:11:27;16.4;94.1;680.06
2020/11/01 03:12:27;16.4;94.2;680.04
2020/11/01 03:13:27;16.4;94.3;679.83
2020/11/01 03:14:28;16.4;94.3;679.75
2020/11/01 03:15:28;16.4;94.4;679.31
2020/11/01 03:16:28;16.4;94.4;679.45
2020/11/01 03:17:28;16.5;94.4;679.18
2020/11/01 03:18:28;16.5;94.3;678.87
2020/11/01 03:19:28;16.5;94.3;678.94
2020/11/01 03:20:28;16.5;94.2;679.01
2020/11/01 03:21:28;16.5;94.1;679.04
2020/11/01 03:22:28;16.5;94.1;678.99
2020/11/01 03:23:28;16.5;94.1;678.86
2020/11/01 03:24:29;16.5;94.2;678.74
2020/11/01 03:25:29;16.6;94.1;678.79
2020/11/01 03:26:29;16.6;94.1;679.26
2020/11/01 03:27:29;16.6;94.0;678.71
2020/11/01 03:28:29;16.6;94.0;678.62
2020/11/01 03:29:30;16.6;93.9;678.52
2020/11/01 03:30:30;16.6;93.8;677.9
2020/11/01 03:31:30;16.6;93.7;678.99
2020/11/01 03:32:30;16.6;93.6;678.54
2020/11/01 03:33:30;16.6;93.6;678.51
2020/11/01 03:34:30;16.6;93.7;678.91
2020/11/01 03:35:31;16.6;93.8;678.72
2020/11/01 03:36:30;16.6;93.8;678.95
2020/11/01 03:37:30;16.5;93.9;678.45
2020/11/01 03:38:31;16.5;94.0;679.08
2020/11/01 03:39:31;16.5;94.1;678.54
2020/11/01 03:40:31;16.5;94.1;678.45
2020/11/01 03:41:31;16.5;94.2;679.12
2020/11/01 03:42:31;16.5;94.4;678.68
